132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
132.84,254.95,377.05,499.15,621.25,743.35,987.55,0.00
